Country,Confirmed,Active,Deaths,Recovered
US,28413949,27905635,508314,
India,11063491,155986,156825,10750680
Brazil,10390461,868463,251498,9270500
Russia,4175757,350799,83900,3741058
United Kingdom,4166745,4032910,122303,11532
France,3746476,3399093,85734,261649
Spain,3180212,2961023,68813,150376
Italy,2868435,396143,96974,2375318
Turkey,2674766,99905,28358,2546503
Germany,2430277,120591,69580,2240106
Colombia,2241225,43636,59396,2138193
Argentina,2093645,155118,51795,1886732
Mexico,2069370,265670,183692,1620008
Poland,1684788,235883,43353,1405552
Iran,1615184,175363,59899,1379922
South Africa,1509124,35056,49667,1424401
Ukraine,1381273,148244,27146,1205883
Indonesia,1322866,158408,35786,1128672
Peru,1300799,58601,45683,1196515
Czechia,1212780,137698,19999,1055083
Netherlands,1088730,1058883,15561,14286
Canada,863495,30076,21868,811551
Chile,812344,21844,20310,770190
Portugal,801746,73848,16185,711713
Romania,795732,39479,20233,736020
Israel,769971,40671,5694,723606
Belgium,763885,741879,22006,
Iraq,688698,45155,13365,630178
Sweden,657309,644483,12826,
Pakistan,577482,22285,12804,542393
Philippines,571327,34498,12247,524582
Switzerland,554932,227371,9961,317600
Bangladesh,545424,41531,8395,495498
Morocco,482514,6375,8598,467541
Austria,454860,19088,8515,427257
Serbia,449901,445503,4398,
Japan,429860,15662,7770,406428
Hungary,419182,86488,14795,317899
United Arab Emirates,385160,6425,1198,377537
Jordan,380268,33041,4627,342600
Saudi Arabia,376723,2549,6483,367691
Lebanon,366319,80565,4560,281194
Panama,339383,9417,5810,324156
Slovakia,300775,-252762,6859,255300
Malaysia,295951,27994,1111,266846
Belarus,284500,7800,1957,274743
Ecuador,281169,26683,15669,238817
Nepal,273872,964,2685,270223
Georgia,270137,2605,3485,264047
Kazakhstan,260384,20470,3160,236754
Bolivia,246822,44164,11577,191081
Bulgaria,243946,31173,10079,202694
Croatia,242097,3046,5503,233548
Dominican Republic,237629,46254,3075,188300
Azerbaijan,233989,2297,3213,228479
Tunisia,231298,27648,7911,195739
Ireland,217478,189843,4271,23364
Denmark,210900,6328,2354,202218
Costa Rica,203914,25235,2796,175883
Lithuania,196690,11202,3225,182263
Kuwait,188024,10938,1067,176019
Slovenia,187762,12048,3809,171905
Greece,186469,86295,6410,93764
Moldova,181886,13694,3871,164321
Egypt,180640,30605,10541,139494
West Bank and Gaza,179293,12728,2008,164557
Guatemala,173142,6761,6334,160047
Armenia,171510,5162,3183,163165
Honduras,168243,98719,4099,65425
Qatar,162737,9673,257,152807
Paraguay,156189,22523,3135,130531
Ethiopia,156112,20184,2321,133607
Nigeria,154476,20886,1891,131699
Burma,141841,7226,3198,131417
Oman,140588,7342,1562,131684
Venezuela,137871,6610,1334,129927
Libya,132458,10792,2174,119492
